Inference - 20221211_17.04
save_image: True
data_path: /scratch/08310/rs821505/Video-Dehazing-Extension/dataset/REVIDE_REDUCED128/Test/hazy
gt_path: /scratch/08310/rs821505/Video-Dehazing-Extension/dataset/REVIDE_REDUCED128/Test/gt
model_path: /scratch/08310/rs821505/Video-Dehazing-Extension/experiment/REVIDE_REDUCED/20221210_21.58/Dehaze/model/model_best.pt
result_path: ../infer_results/REVIDE_128/infer_20221211_17.04
size_must_mode: 4
device: cuda
Loading model from /scratch/08310/rs821505/Video-Dehazing-Extension/experiment/REVIDE_REDUCED/20221210_21.58/Dehaze/model/model_best.pt
> 00026 PSNR=23.169, SSIM=0.8353 pre_time:0.044s, forward_time:0.024s, post_time:0.013s, total_time:0.080s
> 00027 PSNR=22.790, SSIM=0.8246 pre_time:0.014s, forward_time:0.021s, post_time:0.013s, total_time:0.048s
> 00028 PSNR=22.092, SSIM=0.8043 pre_time:0.037s, forward_time:0.021s, post_time:0.013s, total_time:0.071s
> 00029 PSNR=21.861, SSIM=0.7996 pre_time:0.031s, forward_time:0.022s, post_time:0.017s, total_time:0.069s
> 00030 PSNR=20.948, SSIM=0.7776 pre_time:0.019s, forward_time:0.021s, post_time:0.013s, total_time:0.054s
> 00031 PSNR=20.692, SSIM=0.7734 pre_time:0.077s, forward_time:0.024s, post_time:0.013s, total_time:0.114s
> 00032 PSNR=20.285, SSIM=0.7579 pre_time:0.047s, forward_time:0.021s, post_time:0.013s, total_time:0.081s
> 00033 PSNR=19.697, SSIM=0.7439 pre_time:0.037s, forward_time:0.021s, post_time:0.012s, total_time:0.071s
> 00034 PSNR=19.291, SSIM=0.7414 pre_time:0.027s, forward_time:0.021s, post_time:0.012s, total_time:0.061s
> 00035 PSNR=19.049, SSIM=0.7342 pre_time:0.027s, forward_time:0.021s, post_time:0.015s, total_time:0.064s
> 00000 PSNR=18.935, SSIM=0.7115 pre_time:0.032s, forward_time:0.022s, post_time:0.013s, total_time:0.067s
> 00001 PSNR=18.787, SSIM=0.7052 pre_time:0.017s, forward_time:0.021s, post_time:0.012s, total_time:0.050s
> 00002 PSNR=19.248, SSIM=0.7196 pre_time:0.049s, forward_time:0.021s, post_time:0.014s, total_time:0.085s
> 00003 PSNR=19.028, SSIM=0.7067 pre_time:0.014s, forward_time:0.021s, post_time:0.012s, total_time:0.047s
