Inference - 20221211_17.07
save_image: True
data_path: /scratch/08310/rs821505/Video-Dehazing-Extension/dataset/REVIDE_REDUCED128/Test/hazy
gt_path: /scratch/08310/rs821505/Video-Dehazing-Extension/dataset/REVIDE_REDUCED128/Test/gt
model_path: /scratch/08310/rs821505/Video-Dehazing-Extension/experiment/REVIDE_REDUCED/20221210_21.58/Dehaze/model/model_best.pt
result_path: ../infer_results/REVIDE_128/infer_20221211_17.07
size_must_mode: 4
device: cuda
Loading model from /scratch/08310/rs821505/Video-Dehazing-Extension/experiment/REVIDE_REDUCED/20221210_21.58/Dehaze/model/model_best.pt
> 00000 PSNR=15.778, SSIM=0.6988 pre_time:0.039s, forward_time:0.422s, post_time:0.228s, total_time:0.689s
> 00001 PSNR=14.860, SSIM=0.6549 pre_time:0.006s, forward_time:0.026s, post_time:0.033s, total_time:0.065s
> 00002 PSNR=14.260, SSIM=0.6320 pre_time:0.005s, forward_time:0.025s, post_time:0.110s, total_time:0.140s
> 00003 PSNR=13.925, SSIM=0.6221 pre_time:0.005s, forward_time:0.026s, post_time:0.032s, total_time:0.062s
> 00004 PSNR=13.743, SSIM=0.6059 pre_time:0.004s, forward_time:0.025s, post_time:0.030s, total_time:0.060s
> 00005 PSNR=14.757, SSIM=0.6034 pre_time:0.007s, forward_time:0.026s, post_time:0.068s, total_time:0.101s
> 00006 PSNR=14.676, SSIM=0.5878 pre_time:0.004s, forward_time:0.025s, post_time:0.121s, total_time:0.150s
> 00007 PSNR=14.815, SSIM=0.5683 pre_time:0.005s, forward_time:0.026s, post_time:0.067s, total_time:0.097s
> 00008 PSNR=15.180, SSIM=0.5822 pre_time:0.005s, forward_time:0.026s, post_time:0.053s, total_time:0.083s
> 00009 PSNR=14.979, SSIM=0.5911 pre_time:0.005s, forward_time:0.025s, post_time:0.013s, total_time:0.044s
> 00010 PSNR=14.880, SSIM=0.5939 pre_time:0.004s, forward_time:0.026s, post_time:0.135s, total_time:0.165s
> 00011 PSNR=15.010, SSIM=0.5987 pre_time:0.005s, forward_time:0.026s, post_time:0.049s, total_time:0.079s
> 00012 PSNR=15.102, SSIM=0.6116 pre_time:0.005s, forward_time:0.025s, post_time:0.070s, total_time:0.100s
> 00013 PSNR=15.307, SSIM=0.6235 pre_time:0.004s, forward_time:0.025s, post_time:0.043s, total_time:0.073s
> 00014 PSNR=15.485, SSIM=0.6222 pre_time:0.005s, forward_time:0.026s, post_time:0.048s, total_time:0.079s
> 00015 PSNR=15.313, SSIM=0.6160 pre_time:0.005s, forward_time:0.025s, post_time:0.072s, total_time:0.102s
> 00016 PSNR=15.672, SSIM=0.6230 pre_time:0.007s, forward_time:0.070s, post_time:0.031s, total_time:0.108s
> 00017 PSNR=16.064, SSIM=0.6342 pre_time:0.005s, forward_time:0.026s, post_time:0.108s, total_time:0.139s
> 00018 PSNR=16.558, SSIM=0.6347 pre_time:0.005s, forward_time:0.027s, post_time:0.065s, total_time:0.096s
> 00019 PSNR=16.623, SSIM=0.6381 pre_time:0.005s, forward_time:0.026s, post_time:0.013s, total_time:0.044s
> 00020 PSNR=17.631, SSIM=0.6538 pre_time:0.004s, forward_time:0.026s, post_time:0.017s, total_time:0.047s
> 00021 PSNR=18.114, SSIM=0.6518 pre_time:0.004s, forward_time:0.027s, post_time:0.015s, total_time:0.046s
> 00022 PSNR=17.796, SSIM=0.6524 pre_time:0.004s, forward_time:0.026s, post_time:0.013s, total_time:0.044s
> 00023 PSNR=18.031, SSIM=0.6542 pre_time:0.005s, forward_time:0.026s, post_time:0.013s, total_time:0.044s
> 00024 PSNR=18.125, SSIM=0.6569 pre_time:0.005s, forward_time:0.022s, post_time:0.012s, total_time:0.039s
> 00025 PSNR=18.206, SSIM=0.6655 pre_time:0.004s, forward_time:0.022s, post_time:0.054s, total_time:0.080s
> 00026 PSNR=18.229, SSIM=0.6639 pre_time:0.005s, forward_time:0.027s, post_time:0.064s, total_time:0.097s
> 00027 PSNR=17.977, SSIM=0.6603 pre_time:0.005s, forward_time:0.022s, post_time:0.069s, total_time:0.096s
> 00028 PSNR=18.096, SSIM=0.6639 pre_time:0.005s, forward_time:0.021s, post_time:0.069s, total_time:0.095s
