Inference - 20221211_18.16
save_image: True
data_path: /scratch/08310/rs821505/Video-Dehazing-Extension/dataset/REVIDE_REDUCED/Test/hazy
gt_path: /scratch/08310/rs821505/Video-Dehazing-Extension/dataset/REVIDE_REDUCED/Test/gt
model_path: /scratch/08310/rs821505/Video-Dehazing-Extension/experiment/REVIDE_REDUCED/20221210_19.51/Dehaze/model/model_best.pt
result_path: ../infer_results/REVIDE_64/infer_20221211_18.16
size_must_mode: 4
device: cuda
Loading model from /scratch/08310/rs821505/Video-Dehazing-Extension/experiment/REVIDE_REDUCED/20221210_19.51/Dehaze/model/model_best.pt
> 00041 PSNR=11.684, SSIM=0.3947 pre_time:0.003s, forward_time:0.017s, post_time:0.021s, total_time:0.042s, prior_image:False
> 00042 PSNR=11.575, SSIM=0.3891 pre_time:0.004s, forward_time:0.017s, post_time:0.061s, total_time:0.082s, prior_image:False
> 00043 PSNR=11.613, SSIM=0.3984 pre_time:0.003s, forward_time:0.017s, post_time:0.005s, total_time:0.025s, prior_image:False
> 00044 PSNR=11.461, SSIM=0.4042 pre_time:0.004s, forward_time:0.017s, post_time:0.005s, total_time:0.026s, prior_image:False
> 00045 PSNR=11.554, SSIM=0.4057 pre_time:0.004s, forward_time:0.017s, post_time:0.006s, total_time:0.028s, prior_image:False
> 00046 PSNR=11.526, SSIM=0.4115 pre_time:0.004s, forward_time:0.017s, post_time:0.040s, total_time:0.062s, prior_image:False
> 00047 PSNR=11.639, SSIM=0.4188 pre_time:0.003s, forward_time:0.016s, post_time:0.012s, total_time:0.032s, prior_image:False
> 00048 PSNR=11.720, SSIM=0.4152 pre_time:0.004s, forward_time:0.016s, post_time:0.006s, total_time:0.026s, prior_image:False
> 00049 PSNR=11.716, SSIM=0.4289 pre_time:0.004s, forward_time:0.016s, post_time:0.005s, total_time:0.025s, prior_image:False
> 00050 PSNR=11.832, SSIM=0.4354 pre_time:0.004s, forward_time:0.016s, post_time:0.006s, total_time:0.026s, prior_image:False
> 00051 PSNR=12.070, SSIM=0.4524 pre_time:0.003s, forward_time:0.016s, post_time:0.064s, total_time:0.083s, prior_image:False
> 00052 PSNR=12.165, SSIM=0.4458 pre_time:0.003s, forward_time:0.016s, post_time:0.099s, total_time:0.118s, prior_image:False
> 00053 PSNR=12.215, SSIM=0.4467 pre_time:0.003s, forward_time:0.016s, post_time:0.061s, total_time:0.080s, prior_image:False
> 00054 PSNR=12.307, SSIM=0.4531 pre_time:0.003s, forward_time:0.016s, post_time:0.046s, total_time:0.065s, prior_image:False
> 00055 PSNR=12.515, SSIM=0.4682 pre_time:0.004s, forward_time:0.016s, post_time:0.006s, total_time:0.026s, prior_image:False
> 00056 PSNR=12.640, SSIM=0.4775 pre_time:0.003s, forward_time:0.016s, post_time:0.007s, total_time:0.027s, prior_image:False
> 00057 PSNR=13.009, SSIM=0.4883 pre_time:0.003s, forward_time:0.016s, post_time:0.006s, total_time:0.025s, prior_image:False
> 00000 PSNR=18.771, SSIM=0.6343 pre_time:0.005s, forward_time:0.016s, post_time:0.164s, total_time:0.185s, prior_image:False
> 00001 PSNR=19.496, SSIM=0.6199 pre_time:0.005s, forward_time:0.016s, post_time:0.040s, total_time:0.061s, prior_image:False
> 00002 PSNR=19.673, SSIM=0.5910 pre_time:0.004s, forward_time:0.016s, post_time:0.063s, total_time:0.083s, prior_image:False
> 00003 PSNR=19.442, SSIM=0.6078 pre_time:0.004s, forward_time:0.016s, post_time:0.035s, total_time:0.056s, prior_image:False
> 00004 PSNR=19.633, SSIM=0.6492 pre_time:0.004s, forward_time:0.016s, post_time:0.005s, total_time:0.025s, prior_image:False
> 00005 PSNR=19.623, SSIM=0.6938 pre_time:0.003s, forward_time:0.016s, post_time:0.042s, total_time:0.062s, prior_image:False
> 00006 PSNR=19.361, SSIM=0.7109 pre_time:0.019s, forward_time:0.016s, post_time:0.050s, total_time:0.086s, prior_image:False
> 00007 PSNR=18.248, SSIM=0.7582 pre_time:0.004s, forward_time:0.016s, post_time:0.031s, total_time:0.051s, prior_image:False
> 00008 PSNR=17.645, SSIM=0.7391 pre_time:0.004s, forward_time:0.016s, post_time:0.048s, total_time:0.068s, prior_image:False
> 00009 PSNR=17.941, SSIM=0.7031 pre_time:0.004s, forward_time:0.016s, post_time:0.056s, total_time:0.077s, prior_image:False
> 00010 PSNR=17.390, SSIM=0.6785 pre_time:0.004s, forward_time:0.016s, post_time:0.007s, total_time:0.027s, prior_image:False
> 00011 PSNR=16.103, SSIM=0.6139 pre_time:0.003s, forward_time:0.016s, post_time:0.045s, total_time:0.064s, prior_image:False
> 00012 PSNR=14.308, SSIM=0.5887 pre_time:0.004s, forward_time:0.016s, post_time:0.091s, total_time:0.112s, prior_image:False
> 00013 PSNR=12.786, SSIM=0.5329 pre_time:0.004s, forward_time:0.016s, post_time:0.007s, total_time:0.027s, prior_image:False
> 00014 PSNR=12.975, SSIM=0.5292 pre_time:0.004s, forward_time:0.016s, post_time:0.053s, total_time:0.073s, prior_image:False
> 00015 PSNR=13.954, SSIM=0.5808 pre_time:0.005s, forward_time:0.016s, post_time:0.060s, total_time:0.082s, prior_image:False
> 00016 PSNR=14.908, SSIM=0.6096 pre_time:0.004s, forward_time:0.016s, post_time:0.111s, total_time:0.131s, prior_image:False
> 00017 PSNR=16.122, SSIM=0.6298 pre_time:0.004s, forward_time:0.017s, post_time:0.039s, total_time:0.061s, prior_image:False
